age,sex,year,value
63,male,2000,3.744944907459354e-5
63,male,2001,3.516959543461845e-5
63,male,2002,3.416613512808458e-5
63,male,2003,3.322448996357751e-5
63,male,2004,3.237444315867236e-5
63,male,2005,3.163817606802422e-5
63,male,2006,3.1023228066306296e-5
63,male,2007,3.052436178891971e-5
63,male,2008,3.0125810947692035e-5
63,male,2009,2.9804337839735985e-5
63,male,2010,2.9536085414076755e-5
63,male,2011,2.9301693187821193e-5
63,male,2012,2.9087133765857218e-5
63,male,2013,2.8882840789230057e-5
64,female,1970,3.438337918520403e-5
64,female,1971,3.383775039872548e-5
64,female,1972,3.3292121612246924e-5
64,female,1973,3.274649282576837e-5
64,female,1974,3.220086403928982e-5
64,female,1975,3.165523525281127e-5
64,female,1976,3.1109606466332716e-5
64,female,1977,3.056397767985416e-5
64,female,1978,3.0018348893375612e-5
64,female,1979,2.947272010689706e-5
64,female,1980,2.8927091320418508e-5
64,female,1981,2.8838563834992795e-5
64,female,1982,2.8750036349567078e-5
64,female,1983,2.8661508864141365e-5
64,female,1984,2.8572981378715648e-5
64,female,1985,2.8484453893289934e-5
64,female,1986,2.839592640786422e-5
64,female,1987,2.8307398922438504e-5
64,female,1988,2.821887143701279e-5
