age,sex,year,value
86,female,2009,0.0002011372338931313
86,female,2010,0.00019860430589829577
86,female,2011,0.0001946917116608259
86,female,2012,0.00019328101952936633
86,female,2013,0.0001923997059074786
86,female,2014,0.00018911197264934466
86,female,2015,0.000186883257099625
86,female,2016,0.0001827824715506855
86,female,2017,0.0001817874927505002
86,female,2018,0.00017705167089749043
86,female,2019,0.0001731697335872663
86,male,1977,0.0005267648904847779
86,male,1978,0.0005214931259430802
86,male,1979,0.0005096603930783832
86,male,1980,0.0005015919467454694
86,male,1981,0.0004976158764311739
86,male,1982,0.0004958104787885541
86,male,1983,0.0005067266558457387
86,male,1984,0.0005014932966520338
86,male,1985,0.0005054091454737308
86,male,1986,0.0004953839223294587
86,male,1987,0.0004828466404797131
86,male,1988,0.00045901121879002093
86,male,1989,0.00044180870287718497
86,male,1990,0.00043432247283433604
86,male,1991,0.0004277847697378884
86,male,1992,0.00041784792130312054
86,male,1993,0.0004134501700384424
86,male,1994,0.0004079152286765311
86,male,1995,0.00040683499401741153
86,male,1996,0.0004005843623747476
86,male,1997,0.0003963408035805526
86,male,1998,0.0003918510643515314
86,male,1999,0.0003885359151428591
86,male,2000,0.000383302997822098
86,male,2001,0.00037610047008115947
86,male,2002,0.0003688541838520676
86,male,2003,0.00036584837237823187
86,male,2004,0.00035603984917371046
86,male,2005,0.000348193378360638
86,male,2006,0.000336651436723828
86,male,2007,0.0003299410388977109
86,male,2008,0.00032247690061401856
86,male,2009,0.0003202908640755534
86,male,2010,0.0003168767511933315
86,male,2011,0.00030871246714234916
86,male,2012,0.0003019478259692426
86,male,2013,0.00029666406617953514
86,male,2014,0.000290294366310272
86,male,2015,0.0002870086449663854
86,male,2016,0.00028081302032308814
86,male,2017,0.0002796908045747096
86,male,2018,0.000272967152392854
86,male,2019,0.00026843347355146356
87,female,1977,0.0004278807994192948
87,female,1978,0.00042276391104262143
87,female,1979,0.0004150746031649996
87,female,1980,0.00041714635705260175
87,female,1981,0.0004131954444252671
87,female,1982,0.0004059457089130269
87,female,1983,0.0004064855975638664
87,female,1984,0.0003987467907515596
87,female,1985,0.0004006160554618053
87,female,1986,0.00039109296198931904
87,female,1987,0.00037676017535804315
87,female,1988,0.00035881640546825275
87,female,1989,0.0003446822104508034
87,female,1990,0.0003388815668795869
87,female,1991,0.0003330931867652565
87,female,1992,0.0003238941382793691
87,female,1993,0.00031986002055383835
87,female,1994,0.0003101839223529303
87,female,1995,0.0003076400293801941
87,female,1996,0.00030087803411753706
87,female,1997,0.00030002250149555
87,female,1998,0.00029504738042590155
87,female,1999,0.00029011172275253514
87,female,2000,0.0002868870272761382
87,female,2001,0.00028117708099129784
87,female,2002,0.00027478272805065996
87,female,2003,0.00027617548518642275
87,female,2004,0.00026659192258338056
87,female,2005,0.00026366610311952986
87,female,2006,0.00024339214279656788
87,female,2007,0.00024384104808708126
87,female,2008,0.0002375332011638395
87,female,2009,0.00023690620040018792
87,female,2010,0.00023073343555290787
87,female,2011,0.00022445568036961894
87,female,2012,0.0002214260894592152
87,female,2013,0.00021979387661944614
87,female,2014,0.00021700652715777279
87,female,2015,0.0002146365479998467
87,female,2016,0.00021241655416116953
87,female,2017,0.00021268285839902152
87,female,2018,0.0002073026227827057
87,female,2019,0.0002033775874574932
87,male,1977,0.0005680278827656319
87,male,1978,0.0005624407733771713
87,male,1979,0.0005523054200949776
87,male,1980,0.0005495933665747403
87,male,1981,0.0005448119682706447
87,male,1982,0.0005413398248664618
87,male,1983,0.0005498611041834065
87,male,1984,0.0005452462959644165
87,male,1985,0.0005507314322733366
87,male,1986,0.0005423075760546747
87,male,1987,0.0005303515094433341
87,male,1988,0.0005080118391682459
87,male,1989,0.000490499669063938
87,male,1990,0.0004773653208286523
87,male,1991,0.0004710168051391248
87,male,1992,0.00045894646656687287
87,male,1993,0.00045344811733546335
87,male,1994,0.00044541453162605295
87,male,1995,0.00044477028524648934
87,male,1996,0.0004411974706474807
87,male,1997,0.0004374044490766459
87,male,1998,0.0004335525205422589
87,male,1999,0.00042333908381555775
87,male,2000,0.000416795642329145
87,male,2001,0.0004086144312239741
87,male,2002,0.0004012816950503462
87,male,2003,0.00040109149579697066
87,male,2004,0.0003908403078416317
87,male,2005,0.00039109296198931904
87,male,2006,0.00036710039281857783
87,male,2007,0.00037020160772492894
87,male,2008,0.00036203324233473203
87,male,2009,0.00036168951632849884
87,male,2010,0.00035311036082192324
87,male,2011,0.00034418541765274496
87,male,2012,0.00033872663802269
87,male,2013,0.00033491814604135763
87,male,2014,0.0003307750778711808
87,male,2015,0.0003262064261562228
87,male,2016,0.00032343191495067545
87,male,2017,0.0003228157385400907
87,male,2018,0.00031530953099247346
87,male,2019,0.0003081608752558748
88,female,1977,0.0004857548875007058
88,female,1978,0.00047104932410712457
88,female,1979,0.00045687520359170624
88,female,1980,0.00046040376212382126
88,female,1981,0.0004605333370529147
88,female,1982,0.0004544499346632408
88,female,1983,0.00045318964332611504
88,female,1984,0.0004410044782894659
88,female,1985,0.0004429993889636377
88,female,1986,0.0004342583018726484
88,female,1987,0.0004271766599589158
88,female,1988,0.00040915484642727317
88,female,1989,0.00039336789909975395
88,female,1990,0.00038163435131576267
88,female,1991,0.0003738398294315291
88,female,1992,0.00036528514991567663
88,female,1993,0.00036109590939313336
88,female,1994,0.00035167792286564653
88,female,1995,0.00034754051969325536
88,female,1996,0.00034098947017065516
88,female,1997,0.00034098947017065516
88,female,1998,0.0003360013241221791
88,female,1999,0.0003339591174751056
88,female,2000,0.00032957043644697584
88,female,2001,0.0003231854277455183
88,female,2002,0.00031616985455113747
88,female,2003,0.0003172148967244504
88,female,2004,0.00030678238151966207
88,female,2005,0.00029925885892079083
88,female,2006,0.00027862967231963575
88,female,2007,0.00027729626070832446
88,female,2008,0.00027251344653313994
88,female,2009,0.00027375375403069997
